Search Results

Searching for first_cat sources within 30.0000 arcsec of 309 input positions

21 sources found

                                                                                    FIRST Catalog Database (2014dec17)                                                                                    
-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Do  Get Get  | Search     RA (2000)   Dec (2000)   Side   Peak     Int.     RMS   Deconv.  Deconv.  Deconv  Meas.     Meas.      Meas.    Field Name   SDSS Closest SDSS  SD 2MAS Closest 2MASS  Mean      Mean      RMS    
NED OPT FIMG |          11 27 13.220 +46 25 30.60                          0.144 
NED OPT FIMG |          11 27 18.750 +58 50 25.10                          0.142 
NED OPT FIMG |          11 35 45.550 +64 40 05.30                         -1.000*
NED OPT FIMG |          11 36 38.380 +42 45 53.00                          0.186 
NED OPT FIMG |          11 36 57.680 +41 13 18.50                          0.146 
NED OPT FIMG |          11 37 11.450 +12 39 51.50                          0.151 
NED OPT FIMG |          11 40 08.710 +03 07 11.40                          0.185 
NED OPT FIMG |          11 41 07.560 -02 49 10.80                          0.149 
NED OPT FIMG |          11 42 12.760 +45 10 37.60                          0.136 
NED OPT FIMG |          11 43 30.980 +64 32 48.60                          0.130*
NED OPT FIMG |          11 43 39.490 -02 43 16.30                          0.143 
NED OPT FIMG |          11 43 43.770 +55 00 19.30                          0.146 
NED OPT FIMG |          11 44 49.450 +44 23 00.50                          0.134 
NED OPT FIMG |          11 46 33.990 +10 02 45.00                          0.152 
NED OPT FIMG |          11 47 23.200 -02 50 04.70                          0.158 
NED OPT FIMG |          11 48 51.620 +51 45 28.70                          0.141 
NED OPT FIMG |          11 51 38.110 +56 13 31.90                          0.156 
NED OPT FIMG |          11 53 41.780 +46 12 42.30                          0.136 
NED OPT FIMG |          11 57 39.550 +59 34 14.30                          0.151 
NED OPT FIMG |          12 04 49.710 +51 00 43.90                          0.161 
NED OPT FIMG |          12 15 03.690 -01 32 10.60                          0.164 
NED OPT FIMG |          12 15 11.090 +45 09 45.10                          0.136 
NED OPT FIMG |          12 15 18.240 +01 47 51.20                          0.140 
NED OPT FIMG |          12 18 03.050 +50 17 28.30                          0.136 
NED OPT FIMG |          12 18 28.570 +53 31 37.00                          0.175 
NED OPT FIMG |          12 18 36.980 +09 13 23.60                          0.150 
NED OPT FIMG |          12 23 42.810 +58 14 46.20                          0.139 
NED OPT FIMG |          12 23 49.640 +07 26 57.90                          0.138 
NED OPT FIMG |          12 26 58.410 +42 18 35.30                          0.128 
NED OPT FIMG |          12 27 11.670 +63 06 46.90                          0.147 
NED OPT FIMG |          12 28 44.830 +65 42 34.50                         -1.000*
NED OPT FIMG |          12 31 52.810 +00 10 33.70                          0.141 
NED OPT FIMG |          12 33 49.920 +63 49 57.10                          0.143 
NED OPT FIMG |          12 41 18.740 +01 00 40.10                          0.149 
NED OPT FIMG |          12 42 21.620 +57 53 04.00                          0.145 
NED OPT FIMG |          12 42 26.300 +52 10 28.20                          0.138 
NED OPT FIMG |          12 47 38.520 +62 12 43.10                          0.147 
NED OPT FIMG |          12 50 55.280 -01 55 56.80                          0.154 
NED OPT FIMG |          12 53 59.220 +65 59 07.60                         -1.000*
NED OPT FIMG |          12 53 59.620 +46 27 50.10                          0.152 
NED OPT FIMG |          12 56 54.920 +49 40 54.40                          0.131 
NED OPT FIMG |          13 00 30.380 +01 02 47.50                          0.139 
NED OPT FIMG |          13 03 11.230 -00 45 32.70                          0.141 
NED OPT FIMG |          13 07 16.990 +45 06 45.30                          0.139 
